date,portfolio_return,long_count,short_count,long_mean_pred,short_mean_pred,total_stocks,long_permnos,short_permnos
2020-09-30,-0.09799872765200002,50,50,0.02690152429660547,-0.020115356344679692,990,"16816,92043,75186,75607,72726,70519,24328,49656,88860,13046,69032,84597,89258,87842,85753,90303,17787,14229,86868,20415,13721,85593,75603,18267,76841,12503,71175,79879,16505,27983,12591,84348,89290,60599,25785,77274,21186,72996,90880,69649,83862,76082,59408,66325,92257,81540,81061,15069,90558,92602","14988,80069,88174,14245,18770,89394,84788,14882,15643,16738,18141,17106,18576,16968,90177,87337,15534,15067,14983,21020,15198,18769,93436,80563,16597,39490,16140,18312,14325,18452,16386,18135,14054,15222,18771,18567,18572,17799,14634,14176,18835,18368,18137,82779,16932,16655,18580,18485,15831,17948"
2020-10-31,0.03373809107399999,50,50,0.025973640560568067,-0.020699401143563483,978,"92043,89394,66325,75607,82670,72726,85753,70519,49656,69032,90303,89258,75186,14229,88860,13046,91413,20415,17787,75603,92257,86868,83534,12591,87842,16505,18267,81061,79879,81540,13721,76744,25785,27983,71175,92602,76841,24328,85035,85631,14579,77274,44943,38703,60599,85593,75285,90248,18592,92778","17778,90215,16597,18135,87000,16829,18734,17223,15067,84172,14882,18580,18572,18886,80069,18567,16932,19561,18452,93436,15198,80563,18368,18576,16304,91103,18771,16738,16386,18485,21020,88351,17799,14634,18312,90177,16655,39490,87337,14054,16924,18137,18214,17948,18776,82779,18835,15831,17907,18203"
2020-11-30,-0.09662773306800004,50,50,0.026355986292357015,-0.020211341862507726,995,"92043,16816,75607,72726,66325,70519,82670,90805,75186,85753,12503,14229,49656,89258,13323,69032,17787,15069,71175,91277,13862,88860,77274,81061,13908,86356,18267,40125,86868,87842,20415,82598,85593,90303,91983,13721,14521,36898,93101,87137,81540,85631,49015,15398,13046,66384,27828,92257,92602,16505","14988,14554,82779,16304,17701,15534,18727,17778,13704,15067,17125,18770,16386,87337,18203,88949,18580,18835,18734,18368,16968,90177,93436,18135,15222,14176,84385,14634,18576,91103,18452,18485,16655,17799,80069,17878,18312,16068,18137,16932,16924,21020,18771,17948,18567,18214,14054,18776,16964,17907"
2020-12-31,-0.002362434848,50,50,0.027316956074768445,-0.021012318251544856,988,"92043,27887,88518,75607,16816,17812,85753,13046,89002,79906,91277,77274,18267,72726,76841,70519,10517,18484,77178,13141,51369,25081,27828,14464,14076,90303,76082,16499,75186,11896,15398,15579,84761,17342,16171,64390,48486,11403,90248,49656,76614,75603,81540,89258,92257,14782,81061,92602,86868,46886","16386,19561,19032,15067,16968,12591,88351,89533,90177,18770,18141,80069,14882,17701,15198,16595,18771,14634,16597,16932,18886,16304,18835,18312,15222,93436,39490,18452,16924,18203,18135,17878,14828,15284,18572,18137,16964,82779,18214,16655,18776,17799,91103,14054,21020,17948,18580,13262,18567,17907"
2021-01-31,-0.116420609364,50,50,0.02514633212256314,-0.029282079096555436,987,"75607,92043,88518,85753,13046,17812,79906,91277,77274,72726,89258,49656,12503,90303,14521,77178,81540,82486,11403,14076,75186,15579,18267,48653,92602,76839,92257,89781,90248,81061,64390,88031,14436,11896,70519,79879,18484,62498,24328,51369,17367,10104,76614,15408,17144,85593,15623,25320,21371,18729","19561,18734,16829,18456,15067,93436,89533,15284,17104,18452,18787,91594,14882,18915,34833,18368,18312,14054,57817,80563,16698,18771,18135,15222,17949,17948,18835,14608,16655,18214,91103,39490,18572,17315,18815,18137,19032,21020,77699,17799,17907,16964,18776,18203,18567,18580,18961,82779,18162,87430"
2021-02-28,0.06437018682199999,50,50,0.02456208045590613,-0.027167676814662246,1012,"92043,85753,13046,75607,91277,24328,72726,49656,70519,77274,79906,35554,89258,15914,75186,14521,86356,17787,15707,79879,20415,25785,76839,81540,76614,81061,14076,15579,77178,18267,76841,86868,69032,15408,50876,16851,75285,12360,16347,86047,21371,85913,38156,48653,15398,51369,92257,89781,16678,87842","12591,34833,18452,16829,91103,17949,85177,88421,18368,39490,16386,18886,17201,93263,14176,14054,17948,15221,15284,16698,15067,17104,18312,16597,18135,18815,16655,18137,17315,15222,21020,93436,15198,86211,18776,17799,17907,18572,18214,18719,18453,18162,16964,18100,18961,18567,82779,19032,18552,18580"
2021-03-31,0.119305152272,50,50,0.0241481543398604,-0.025902328968186096,1010,"75607,13046,12360,92043,15284,91277,15707,85753,70519,89258,17812,92257,49656,16505,72726,20415,12503,35554,15408,84761,27633,77274,88949,81061,18267,21371,75285,71175,17787,34746,49015,15850,82598,93150,76136,14521,91658,79879,87842,83534,27828,86868,82486,78038,77178,91413,13604,21207,86356,91983","18769,18909,88351,16140,18734,14988,14803,87337,15694,19084,16597,77699,91103,15643,16068,18312,18835,18908,18787,18567,18100,17949,16386,93263,93436,18456,78664,15198,15067,18368,18572,17948,14176,18580,16655,18135,17799,18137,21020,15222,14054,18961,18719,18214,18815,16964,19032,18453,89301,17977"
2021-04-30,0.074751129348,50,50,0.02450810824954072,-0.02495451165925769,1015,"16816,82779,92043,91277,18267,12503,89258,49656,70519,13046,15284,85753,85269,72726,56223,77274,21371,13908,21207,81061,16678,16505,81540,14521,27828,14076,88949,71175,92257,34746,75607,76591,42585,86356,25419,75186,15291,84519,15408,93150,20415,79906,42877,64390,86868,84761,17342,83534,12473,82651","19177,18770,16064,14988,12360,18953,14882,18787,17125,17949,93436,18908,18769,90177,82670,16698,19032,18580,16386,18203,15198,21020,14263,17907,77699,16655,87337,15222,18137,12307,15067,14176,18456,18572,16964,17799,18567,18135,18368,17948,18719,18815,89301,14054,18214,18961,18453,17977,14328,92213"
2021-05-31,0.04578876282,50,50,0.02365430080598131,-0.022816155777356982,1027,"92043,16816,15284,12503,88949,91277,18267,89258,79879,17812,13908,49656,70519,20765,85753,13046,82779,27983,20415,27828,90248,77274,75186,71175,92257,16505,81061,21371,14521,85269,72726,92602,90925,14076,64390,81540,21207,75607,93150,78038,87447,87842,42585,82651,15533,86047,48653,79906,25785,91041","15585,18327,93436,19084,18770,87337,89533,80069,13704,16597,93263,83621,15198,17125,19177,18908,14136,12307,18203,19032,18835,16655,18769,39490,17949,17907,18787,18580,15222,21020,14882,14176,18567,15067,18135,18137,18368,18214,14054,18456,18453,18572,18815,17799,16964,17948,14813,18937,89301,14328"
2021-06-30,-0.16239634014399998,50,50,0.024894394697368084,-0.027064290089074596,1028,"81540,89394,16816,92043,12503,91277,14828,72726,14179,13908,49656,27888,88421,71175,27828,70519,27983,85753,20415,13046,20765,21207,79338,15302,90925,12641,70033,84348,60599,15398,21371,16505,27633,79859,16678,14229,92602,79879,64390,25785,91041,86868,92293,15850,84656,77274,42585,77178,89215,88924","18327,80563,19177,15167,18135,14516,89031,15198,18908,18368,14608,16064,14882,19200,18769,12360,93436,19084,14176,16968,19228,18456,16068,82670,14054,12307,18787,93263,18137,80069,16140,19032,19338,18572,15067,17799,18835,15585,17948,16964,18961,18214,18203,87337,18580,17977,14328,17907,89301,18937"
